=== New Logging Session ===
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, 0.01, 0.03 | Gyro: -0.1, -0.1, 0.1 || MPU2 Acc: 0.03, 0.04, 0.07 | Gyro: 0.1, -0.3, 0.0 || Time: 12042 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.03, 0.03, 0.10 | Gyro: -0.1, -0.1, -0.0 || MPU2 Acc: 0.04, -0.01, 0.11 | Gyro: -0.1, 0.0, 0.4 || Time: 12052 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.08, -0.04, -0.03 | Gyro: -0.1, -0.2, 0.1 || MPU2 Acc: -0.03, -0.01, -0.00 | Gyro: -0.5, -0.3, -0.0 || Time: 12062 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.00, -0.02, 0.11 | Gyro: -0.3, -0.1, 0.2 || MPU2 Acc: 0.05, 0.05, 0.19 | Gyro: -0.7, 0.1, 0.2 || Time: 12072 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.07, -0.03, 0.02 | Gyro: -0.2, 0.1, -0.0 || MPU2 Acc: -0.08, 0.09, 0.10 | Gyro: 0.1, 0.1, 0.4 || Time: 12082 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.01, -0.01, 0.07 | Gyro: 0.2, 0.2, -0.0 || MPU2 Acc: 0.01, 0.01, 0.02 | Gyro: -0.4, -0.1, 0.5 || Time: 12092 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, -0.02, 0.15 | Gyro: 0.1, 0.3, -0.2 || MPU2 Acc: 0.07, -0.00, 0.11 | Gyro: -0.5, -0.2, 0.4 || Time: 12102 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, -0.00, 0.13 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: -0.07, 0.02, 0.00 | Gyro: -0.4, -0.2, 0.4 || Time: 12114 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.01, 0.02, 0.09 | Gyro: -0.1, -0.2, 0.0 || MPU2 Acc: -0.04, 0.01, 0.05 | Gyro: 0.2, -0.1, 0.5 || Time: 12123 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.07, 0.03, 0.09 | Gyro: -0.1, 0.0, -0.0 || MPU2 Acc: 0.01, -0.02, 0.07 | Gyro: -0.5, -0.3, 0.5 || Time: 12133 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.00, 0.01, 0.07 | Gyro: -0.1, -0.1, 0.1 || MPU2 Acc: 0.01, 0.02, 0.09 | Gyro: 0.0, -0.3, 0.3 || Time: 12144 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.07, -0.00, 0.06 | Gyro: -0.1, -0.1, -0.0 || MPU2 Acc: -0.08, -0.03, 0.08 | Gyro: -0.1, -0.1, 0.5 || Time: 12154 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.04, -0.02, 0.09 | Gyro: -0.2, -0.1, 0.1 || MPU2 Acc: 0.01, 0.04, 0.03 | Gyro: 0.1, -0.0, 0.2 || Time: 12164 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.02, 0.01, 0.04 | Gyro: 0.0, 0.1, -0.3 || MPU2 Acc: 0.04, -0.01, 0.16 | Gyro: -0.6, -0.2, 0.6 || Time: 12174 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: -0.03, -0.02, 0.09 | Gyro: -0.1, 0.1, -0.2 || MPU2 Acc: -0.08, -0.02, 0.02 | Gyro: -0.6, -0.2, 0.2 || Time: 12184 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.02, -0.01, 0.03 | Gyro: 0.1, 0.3, -0.2 || MPU2 Acc: 0.01, -0.03, 0.08 | Gyro: 0.4, -0.1, 0.5 || Time: 12194 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.01, 0.02, 0.07 | Gyro: -0.1, 0.1, -0.2 || MPU2 Acc: 0.03, -0.01, 0.02 | Gyro: -0.3, -0.2, 0.3 || Time: 12204 ms
Enc Cnt: -5 | Angle: -1.3° || MPU1 Acc: 0.02, -0.01, 0.10 | Gyro: -0.2, 0.0, 0.1 || MPU2 Acc: -0.02, -0.02, 0.04 | Gyro: -0.5, -0.0, 0.2 || Time: 12215 ms
