=== New Logging Session ===
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, -0.00, 0.01 | Gyro: 0.1, 0.0, -0.2 || MPU2 Acc: -0.02, -0.02, 0.12 | Gyro: -0.3, 0.0, 0.1 || Time: 12029 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, -0.02, -0.02 | Gyro: -0.1, -0.3, 0.2 || MPU2 Acc: 0.01, 0.04, 0.05 | Gyro: -0.3, 0.0, -0.1 || Time: 12039 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, -0.03, 0.12 | Gyro: 0.1, 0.1, -0.3 || MPU2 Acc: -0.02, -0.00, 0.01 | Gyro: -0.1, -0.1, -0.2 || Time: 12049 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.06, -0.02, 0.08 | Gyro: -0.0, -0.0, -0.0 || MPU2 Acc: -0.00, 0.00, 0.07 | Gyro: 0.5, 0.3, 0.1 || Time: 12059 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.06, 0.00 | Gyro: 0.0, -0.0, -0.1 || MPU2 Acc: 0.01, 0.02, 0.00 | Gyro: -0.2, -0.1, -0.0 || Time: 12069 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.10, -0.00, -0.04 | Gyro: 0.3, 0.0, -0.1 || MPU2 Acc: 0.04, -0.03, 0.07 | Gyro: 0.0, 0.0, -0.0 || Time: 12079 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.00, -0.00, 0.02 | Gyro: -0.2, -0.3, -0.2 || MPU2 Acc: -0.08, 0.02, 0.11 | Gyro: -0.1, -0.0, 0.3 || Time: 12089 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.01, -0.00, 0.03 | Gyro: 0.2, 0.3, -0.0 || MPU2 Acc: 0.02, 0.06, 0.07 | Gyro: -0.2, -0.1, 0.1 || Time: 12101 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.04, 0.02, -0.01 | Gyro: 0.1, 0.1, -0.2 || MPU2 Acc: -0.04, 0.06, 0.07 | Gyro: -0.4, -0.2, -0.2 || Time: 12110 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: 0.07, -0.01, 0.01 | Gyro: 0.1, 0.0, -0.1 || MPU2 Acc: -0.04, 0.03, 0.04 | Gyro: -0.1, -0.3, 0.1 || Time: 12120 ms
Enc Cnt: -1 | Angle: -0.3° || MPU1 Acc: -0.03, 0.02, 0.07 | Gyro: 0.0, 0.3, -0.3 || MPU2 Acc: 0.05, -0.00, -0.03 | Gyro: -0.3, -0.1, -0.2 || Time: 12131 ms
