=== New Logging Session ===
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.04, -0.03 | Gyro: 0.1, -0.3, -0.1 || MPU2 Acc: -0.03, -0.02, 0.07 | Gyro: -0.5, -0.1, -0.2 || Time: 12008 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.05, 0.01, 0.01 | Gyro: 0.3, 0.0, -0.4 || MPU2 Acc: -0.12, -0.08, 0.04 | Gyro: 0.0, -0.0, -0.3 || Time: 12018 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.02, 0.03 | Gyro: 0.0, -0.1, -0.1 || MPU2 Acc: -0.02, -0.03, -0.03 | Gyro: 0.3, 0.1, 0.1 || Time: 12028 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.05, 0.01, -0.07 | Gyro: 0.2, -0.2, -0.0 || MPU2 Acc: -0.00, -0.06, -0.01 | Gyro: -0.4, -0.1, -0.3 || Time: 12038 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.06, 0.02 | Gyro: -0.0, -0.3, -0.1 || MPU2 Acc: -0.04, 0.02, 0.02 | Gyro: -0.1, -0.0, -0.2 || Time: 12049 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, 0.02, -0.04 | Gyro: -0.1, -0.3, 0.0 || MPU2 Acc: -0.05, 0.00, -0.06 | Gyro: 0.6, 0.1, -0.0 || Time: 12058 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.06, -0.02, -0.02 | Gyro: 0.1, -0.1, -0.0 || MPU2 Acc: -0.08, -0.08, -0.03 | Gyro: -0.3, 0.1, -0.1 || Time: 12068 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.03, 0.01 | Gyro: 0.0, -0.3, -0.0 || MPU2 Acc: -0.04, -0.01, -0.03 | Gyro: 0.1, -0.1, 0.0 || Time: 12080 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, 0.03, -0.02 | Gyro: -0.0, -0.3, -0.0 || MPU2 Acc: -0.12, 0.02, -0.03 | Gyro: -0.1, -0.1, -0.4 || Time: 12090 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, -0.01, -0.02 | Gyro: -0.1, -0.3, -0.1 || MPU2 Acc: -0.08, 0.01, -0.05 | Gyro: 0.2, -0.1, -0.3 || Time: 12100 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, -0.02, 0.03 | Gyro: 0.2, -0.1, -0.2 || MPU2 Acc: -0.00, -0.01, -0.03 | Gyro: 0.6, 0.0, -0.3 || Time: 12111 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, -0.04, 0.07 | Gyro: -0.1, -0.2, -0.0 || MPU2 Acc: -0.07, 0.01, 0.06 | Gyro: 0.1, -0.1, -0.1 || Time: 12121 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.02, 0.08 | Gyro: 0.1, -0.1, -0.2 || MPU2 Acc: -0.09, -0.01, 0.12 | Gyro: -0.3, 0.0, -0.2 || Time: 12131 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, 0.02, -0.01 | Gyro: 0.1, -0.2, -0.1 || MPU2 Acc: -0.06, -0.04, -0.07 | Gyro: 0.4, 0.0, -0.2 || Time: 12141 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.04, -0.01 | Gyro: -0.1, -0.2, -0.2 || MPU2 Acc: -0.02, 0.02, -0.03 | Gyro: 0.1, 0.1, 0.1 || Time: 12151 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.01, -0.02 | Gyro: -0.0, -0.3, -0.1 || MPU2 Acc: -0.13, -0.00, 0.04 | Gyro: -0.2, -0.1, -0.1 || Time: 12161 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.01, -0.03 | Gyro: 0.3, -0.0, -0.1 || MPU2 Acc: -0.05, 0.00, 0.08 | Gyro: 0.4, 0.2, -0.2 || Time: 12171 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.02, -0.02 | Gyro: -0.0, -0.1, 0.1 || MPU2 Acc: -0.04, 0.01, -0.04 | Gyro: 0.2, 0.1, 0.2 || Time: 12182 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.02, -0.08 | Gyro: 0.2, 0.1, -0.3 || MPU2 Acc: -0.11, -0.02, 0.00 | Gyro: -0.4, -0.0, -0.5 || Time: 12191 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.05, 0.01, -0.07 | Gyro: -0.1, -0.2, -0.1 || MPU2 Acc: -0.07, -0.02, -0.03 | Gyro: 0.4, -0.1, -0.4 || Time: 12201 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, -0.01, 0.03 | Gyro: -0.1, -0.0, -0.2 || MPU2 Acc: -0.07, -0.09, 0.03 | Gyro: -0.1, -0.3, -0.0 || Time: 12211 ms
