=== New Logging Session ===
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, 0.03, 0.00 | Gyro: -0.3, -0.1, -0.1 || MPU2 Acc: 0.02, -0.05, 0.03 | Gyro: 0.6, 0.1, 0.1 || Time: 12052 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.08, -0.02 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: 0.02, 0.03, -0.04 | Gyro: -0.2, 0.1, 0.1 || Time: 12062 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.05, -0.05, -0.07 | Gyro: 0.0, 0.1, -0.1 || MPU2 Acc: -0.02, 0.04, -0.02 | Gyro: -0.2, 0.1, -0.1 || Time: 12072 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.01, -0.01 | Gyro: -0.2, 0.0, 0.2 || MPU2 Acc: -0.01, 0.02, -0.06 | Gyro: 0.5, 0.0, -0.0 || Time: 12082 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.00, -0.02, 0.00 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: 0.01, 0.02, -0.00 | Gyro: 0.5, 0.0, 0.3 || Time: 12093 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.04, 0.00 | Gyro: -0.2, -0.1, 0.1 || MPU2 Acc: 0.02, -0.01, 0.00 | Gyro: -0.3, -0.1, -0.2 || Time: 12102 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.06, 0.02, -0.06 | Gyro: -0.0, -0.0, 0.0 || MPU2 Acc: -0.04, -0.02, 0.02 | Gyro: 0.4, 0.0, 0.1 || Time: 12112 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.07, 0.02 | Gyro: -0.0, 0.1, -0.2 || MPU2 Acc: -0.00, -0.01, 0.05 | Gyro: 0.2, 0.0, 0.3 || Time: 12122 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.03, 0.04 | Gyro: 0.0, 0.1, -0.2 || MPU2 Acc: 0.01, -0.01, 0.10 | Gyro: -0.4, 0.1, -0.1 || Time: 12132 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.04, 0.00, 0.01 | Gyro: 0.2, 0.2, -0.1 || MPU2 Acc: 0.02, 0.03, 0.01 | Gyro: 0.4, 0.2, 0.1 || Time: 12142 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.01, 0.01 | Gyro: -0.3, -0.1, -0.2 || MPU2 Acc: 0.02, 0.05, -0.02 | Gyro: 0.4, 0.1, 0.2 || Time: 12152 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, 0.00, -0.00 | Gyro: 0.1, 0.1, -0.2 || MPU2 Acc: 0.02, 0.01, 0.08 | Gyro: -0.4, 0.1, -0.0 || Time: 12162 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, -0.01, -0.03 | Gyro: -0.3, -0.2, 0.3 || MPU2 Acc: 0.03, 0.02, 0.02 | Gyro: 0.4, -0.0, -0.0 || Time: 12172 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.02, -0.06 | Gyro: -0.0, -0.2, -0.1 || MPU2 Acc: 0.04, -0.02, -0.01 | Gyro: -0.0, -0.1, 0.3 || Time: 12182 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.05, -0.03 | Gyro: -0.0, -0.0, -0.1 || MPU2 Acc: 0.05, -0.01, 0.02 | Gyro: -0.4, -0.2, -0.0 || Time: 12193 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, -0.05, -0.06 | Gyro: -0.0, 0.1, 0.1 || MPU2 Acc: 0.01, 0.01, 0.01 | Gyro: 0.5, 0.0, 0.2 || Time: 12202 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, -0.02, -0.01 | Gyro: 0.3, 0.1, -0.2 || MPU2 Acc: 0.02, -0.01, -0.01 | Gyro: -0.0, 0.1, 0.5 || Time: 12212 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, -0.01, -0.06 | Gyro: -0.2, -0.3, -0.1 || MPU2 Acc: -0.05, 0.01, -0.03 | Gyro: -0.0, 0.2, 0.0 || Time: 12222 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, 0.04, -0.06 | Gyro: 0.1, 0.1, -0.1 || MPU2 Acc: 0.04, -0.00, 0.02 | Gyro: 0.5, 0.1, 0.1 || Time: 12232 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.00, 0.01, -0.01 | Gyro: 0.5, 0.5, -0.2 || MPU2 Acc: -0.05, -0.03, -0.03 | Gyro: -0.0, 0.0, 0.2 || Time: 12242 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.01, -0.05, -0.06 | Gyro: 0.3, 0.2, -0.0 || MPU2 Acc: 0.01, -0.00, 0.04 | Gyro: -0.3, 0.2, -0.0 || Time: 12254 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.02, -0.04, -0.07 | Gyro: -0.1, -0.2, 0.1 || MPU2 Acc: -0.04, -0.04, 0.04 | Gyro: 0.4, -0.1, -0.2 || Time: 12263 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.03, -0.02, -0.06 | Gyro: 0.1, 0.1, -0.1 || MPU2 Acc: -0.03, 0.03, 0.06 | Gyro: 0.5, 0.0, 0.2 || Time: 12273 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.06, -0.02, -0.05 | Gyro: -0.0, -0.2, -0.2 || MPU2 Acc: -0.00, -0.01, -0.01 | Gyro: -0.1, -0.1, -0.1 || Time: 12284 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.04, -0.02, -0.04 | Gyro: -0.0, 0.0, -0.3 || MPU2 Acc: -0.03, 0.05, 0.07 | Gyro: 0.1, -0.1, -0.1 || Time: 12293 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.01, 0.01, -0.05 | Gyro: 0.2, 0.2, -0.3 || MPU2 Acc: -0.02, 0.05, -0.09 | Gyro: 0.5, 0.1, 0.1 || Time: 12303 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.07, -0.00, 0.01 | Gyro: 0.1, -0.1, 0.0 || MPU2 Acc: 0.03, 0.02, -0.07 | Gyro: 0.1, -0.0, 0.0 || Time: 12313 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, 0.03, -0.03 | Gyro: 0.1, -0.2, -0.0 || MPU2 Acc: 0.01, -0.02, -0.04 | Gyro: -0.1, 0.0, -0.1 || Time: 12324 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: 0.07, -0.03, -0.03 | Gyro: -0.2, -0.4, -0.1 || MPU2 Acc: -0.04, 0.03, -0.03 | Gyro: 0.1, -0.0, -0.3 || Time: 12334 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.03, -0.04, -0.03 | Gyro: -0.0, 0.1, -0.3 || MPU2 Acc: 0.03, 0.02, -0.14 | Gyro: 0.7, 0.1, 0.1 || Time: 12344 ms
Enc Cnt: 1 | Angle: 0.3° || MPU1 Acc: -0.02, 0.01, -0.06 | Gyro: 0.1, -0.1, -0.0 || MPU2 Acc: 0.02, -0.02, 0.01 | Gyro: 0.0, 0.1, 0.1 || Time: 12355 ms
