=== New Logging Session ===
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, 0.00, 0.02 | Gyro: 0.2, 0.1, 0.0 || MPU2 Acc: -0.01, -0.03, -0.01 | Gyro: 0.5, 0.4, 0.4 || Time: 12031 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.06, 0.01, -0.02 | Gyro: -0.3, -0.2, -0.0 || MPU2 Acc: 0.06, 0.05, -0.01 | Gyro: -0.4, 0.1, 0.0 || Time: 12041 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, 0.01, -0.01 | Gyro: -0.1, 0.2, -0.1 || MPU2 Acc: -0.01, -0.04, 0.01 | Gyro: 0.1, 0.2, 0.1 || Time: 12051 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.04, 0.00, 0.01 | Gyro: 0.1, -0.1, -0.0 || MPU2 Acc: 0.06, -0.03, 0.00 | Gyro: 0.1, 0.0, 0.2 || Time: 12061 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.05, -0.01, 0.02 | Gyro: 0.2, -0.2, -0.1 || MPU2 Acc: 0.06, 0.01, 0.05 | Gyro: -0.5, -0.1, 0.3 || Time: 12072 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, -0.02, 0.06 | Gyro: -0.3, -0.1, -0.0 || MPU2 Acc: 0.01, -0.02, -0.05 | Gyro: 0.4, 0.2, 0.2 || Time: 12081 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.00, -0.04, 0.02 | Gyro: 0.3, 0.1, -0.1 || MPU2 Acc: 0.09, 0.03, 0.03 | Gyro: -0.1, 0.1, 0.4 || Time: 12091 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.02, -0.06, 0.02 | Gyro: -0.2, -0.3, 0.1 || MPU2 Acc: -0.02, -0.05, -0.03 | Gyro: -0.4, 0.0, 0.0 || Time: 12101 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.03, -0.01, 0.03 | Gyro: 0.1, -0.2, 0.1 || MPU2 Acc: -0.03, -0.01, 0.04 | Gyro: 0.4, -0.0, 0.2 || Time: 12111 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.04, -0.03 | Gyro: 0.2, 0.2, 0.0 || MPU2 Acc: -0.01, 0.00, -0.01 | Gyro: -0.1, 0.1, 0.1 || Time: 12121 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.05, -0.00, 0.02 | Gyro: 0.0, 0.0, -0.2 || MPU2 Acc: -0.04, 0.00, 0.04 | Gyro: -0.4, -0.2, 0.1 || Time: 12132 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.03, -0.04 | Gyro: 0.1, 0.1, -0.2 || MPU2 Acc: 0.01, -0.02, 0.02 | Gyro: 0.1, 0.1, 0.0 || Time: 12142 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.07, -0.02 | Gyro: -0.3, -0.2, 0.1 || MPU2 Acc: -0.01, 0.02, -0.04 | Gyro: 0.5, -0.1, -0.0 || Time: 12152 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, 0.00, 0.01 | Gyro: 0.1, 0.1, -0.0 || MPU2 Acc: 0.04, -0.06, 0.05 | Gyro: 0.0, 0.1, 0.3 || Time: 12163 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.03, -0.05, 0.02 | Gyro: 0.2, -0.0, 0.0 || MPU2 Acc: 0.03, 0.04, -0.05 | Gyro: -0.1, 0.0, -0.0 || Time: 12172 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.00, 0.01, 0.01 | Gyro: 0.2, -0.1, 0.0 || MPU2 Acc: 0.00, -0.02, 0.03 | Gyro: 0.4, 0.1, -0.0 || Time: 12182 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.06, 0.01, 0.07 | Gyro: -0.2, -0.2, -0.2 || MPU2 Acc: 0.01, 0.07, -0.02 | Gyro: -0.2, 0.1, -0.0 || Time: 12192 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.05, -0.01, 0.03 | Gyro: 0.3, 0.3, -0.1 || MPU2 Acc: 0.04, -0.02, -0.05 | Gyro: -0.1, -0.0, -0.1 || Time: 12203 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.06, -0.03, 0.06 | Gyro: 0.1, -0.1, -0.1 || MPU2 Acc: 0.00, 0.03, 0.03 | Gyro: 0.2, -0.1, -0.1 || Time: 12213 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.01, 0.01, 0.03 | Gyro: 0.2, -0.0, -0.4 || MPU2 Acc: -0.04, -0.02, 0.06 | Gyro: 0.3, 0.1, 0.1 || Time: 12223 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.01, -0.02, -0.02 | Gyro: -0.2, 0.0, 0.0 || MPU2 Acc: -0.01, 0.00, 0.04 | Gyro: -0.2, 0.1, -0.0 || Time: 12233 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: 0.03, 0.04, -0.02 | Gyro: -0.0, 0.1, -0.1 || MPU2 Acc: 0.05, 0.00, -0.08 | Gyro: -0.3, 0.0, -0.1 || Time: 12243 ms
Enc Cnt: -2 | Angle: -0.5° || MPU1 Acc: -0.02, -0.01, -0.01 | Gyro: 0.2, 0.2, -0.2 || MPU2 Acc: -0.01, 0.03, 0.04 | Gyro: 0.5, -0.1, -0.1 || Time: 12253 ms
