=== New Logging Session ===
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.02, 0.05, -0.14 | Gyro: -0.2, 0.0, 0.1 || MPU2 Acc: 0.08, 0.05, -0.04 | Gyro: -0.3, -0.1, 0.3 || Time: 12006 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, -0.04, -0.02 | Gyro: -0.2, -0.1, -0.0 || MPU2 Acc: 0.11, 0.04, 0.07 | Gyro: 0.4, 0.0, 0.5 || Time: 12016 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.02, -0.07, 0.07 | Gyro: -0.0, 0.0, -0.2 || MPU2 Acc: 0.08, -0.01, -0.04 | Gyro: -0.4, -0.1, 0.2 || Time: 12026 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.04, -0.01, 0.01 | Gyro: 0.1, 0.2, -0.3 || MPU2 Acc: 0.06, -0.00, -0.06 | Gyro: -0.4, -0.0, 0.1 || Time: 12036 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.02, -0.01, -0.03 | Gyro: 0.1, 0.2, -0.1 || MPU2 Acc: 0.05, 0.08, 0.00 | Gyro: 0.4, 0.2, 0.1 || Time: 12047 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.06, -0.05, -0.02 | Gyro: 0.2, 0.7, -0.4 || MPU2 Acc: 0.07, 0.04, -0.06 | Gyro: -0.3, 0.1, 0.2 || Time: 12056 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.05, 0.01, -0.03 | Gyro: 0.1, 0.4, -0.0 || MPU2 Acc: 0.16, 0.03, -0.06 | Gyro: -0.5, 0.1, 0.1 || Time: 12066 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.01, -0.01, -0.06 | Gyro: 0.3, 0.2, -0.2 || MPU2 Acc: 0.10, -0.00, 0.01 | Gyro: -0.6, -0.3, 0.0 || Time: 12078 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, -0.02, -0.00 | Gyro: 0.2, 0.1, -0.2 || MPU2 Acc: 0.07, 0.01, 0.00 | Gyro: 0.5, -0.0, 0.2 || Time: 12088 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, -0.03, 0.07 | Gyro: 0.1, 0.2, -0.3 || MPU2 Acc: 0.06, 0.05, 0.02 | Gyro: -0.5, 0.2, 0.3 || Time: 12098 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.06, -0.03, 0.05 | Gyro: -0.2, 0.1, -0.2 || MPU2 Acc: 0.09, 0.01, -0.01 | Gyro: -0.3, 0.0, 0.3 || Time: 12109 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.06, 0.02, 0.01 | Gyro: 0.2, -0.1, -0.2 || MPU2 Acc: 0.08, 0.03, -0.03 | Gyro: 0.1, 0.1, 0.3 || Time: 12119 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.01, 0.05, 0.06 | Gyro: -0.1, 0.1, -0.3 || MPU2 Acc: 0.03, 0.06, -0.00 | Gyro: 0.3, 0.2, 0.4 || Time: 12129 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.07, -0.02, 0.00 | Gyro: 0.0, 0.1, 0.0 || MPU2 Acc: 0.13, 0.04, -0.00 | Gyro: -0.5, 0.1, 0.3 || Time: 12140 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, -0.01, -0.06 | Gyro: -0.1, -0.1, -0.2 || MPU2 Acc: 0.04, 0.03, -0.00 | Gyro: -0.1, 0.0, 0.3 || Time: 12149 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, -0.02, -0.03 | Gyro: 0.1, 0.3, -0.3 || MPU2 Acc: 0.09, -0.00, 0.00 | Gyro: 0.5, -0.0, 0.6 || Time: 12159 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: 0.04, -0.03, -0.03 | Gyro: 0.0, 0.1, -0.0 || MPU2 Acc: 0.11, -0.01, -0.07 | Gyro: -0.4, 0.1, 0.5 || Time: 12169 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.00, 0.05, -0.01 | Gyro: -0.0, -0.0, -0.0 || MPU2 Acc: 0.12, -0.00, -0.08 | Gyro: -0.5, 0.1, 0.5 || Time: 12180 ms
Enc Cnt: -3 | Angle: -0.8° || MPU1 Acc: -0.02, -0.00, 0.04 | Gyro: 0.1, -0.0, -0.0 || MPU2 Acc: 0.08, -0.01, 0.05 | Gyro: -0.0, -0.2, 0.3 || Time: 12190 ms
