,MPU1_Acc_X,MPU1_Acc_Y,MPU1_Acc_Z,MPU1_Gyro_X,MPU1_Gyro_Y,MPU1_Gyro_Z,MPU1_Roll,MPU1_Pitch,MPU2_Acc_X,MPU2_Acc_Y,MPU2_Acc_Z,MPU2_Gyro_X,MPU2_Gyro_Y,MPU2_Gyro_Z,MPU2_Roll,MPU2_Pitch,Time,angle,source
0,0.05,0.03,0.0,-0.3,-0.1,-0.1,0.0,0.0,0.02,-0.05,0.03,0.6,0.1,0.1,0.0,0.0,12052.0,0.3,LOG25.TXT
1,-0.03,-0.08,-0.02,0.2,0.2,-0.1,-2.0787648693585314,0.40179121454282923,0.02,0.03,-0.04,-0.2,0.1,0.1,2.860642047083122,-0.4350481897270366,12062.0,0.3,LOG25.TXT
2,0.05,-0.05,-0.07,0.0,0.1,-0.1,-4.926436016131875,-0.20860040942071906,-0.02,0.04,-0.02,-0.2,0.1,-0.1,5.132770229683022,0.056529625109718595,12072.0,0.3,LOG25.TXT
3,-0.01,0.01,-0.01,-0.2,0.0,0.2,-2.1298672958092353,0.5008593924227891,-0.01,0.02,-0.06,0.5,0.0,-0.0,8.266315848630924,0.23509657124123806,12082.0,0.3,LOG25.TXT
4,0.0,-0.02,0.0,0.2,0.2,-0.1,-3.885113949893052,0.4929982045743333,0.01,0.02,-0.0,0.5,0.0,0.3,9.906379531658306,-0.300906383725147,12093.0,0.3,LOG25.TXT
5,-0.0,0.04,0.0,-0.2,-0.1,0.1,-2.009175670895189,0.4822562404828466,0.02,-0.01,0.0,-0.3,-0.1,-0.2,7.905605941025137,-1.5644692325090854,12102.0,0.3,LOG25.TXT
6,0.06,0.02,-0.06,-0.0,-0.0,0.0,1.2623088660642778,-0.39721927122865125,-0.04,-0.02,0.02,0.4,0.0,0.1,6.851413822204634,-0.43846764151399564,12112.0,0.3,LOG25.TXT
7,0.02,0.07,0.02,-0.0,0.1,-0.2,2.718154770724537,-0.695522793598696,-0.0,-0.01,0.05,0.2,0.0,0.3,6.4901468962801365,-0.42969828868371573,12122.0,0.3,LOG25.TXT
8,0.02,-0.03,0.04,0.0,0.1,-0.2,1.9263937223931649,-1.1166605274537587,0.01,-0.01,0.1,-0.4,0.1,-0.1,6.242212095604541,-0.5337730925803783,12132.0,0.3,LOG25.TXT
9,-0.04,0.0,0.01,0.2,0.2,-0.1,1.8898258479453016,0.42690781373678854,0.02,0.03,0.01,0.4,0.2,0.1,7.55258887723401,-1.1673682954772482,12142.0,0.3,LOG25.TXT
10,-0.01,-0.01,0.01,-0.3,-0.1,-0.2,0.9490893309863948,1.1226774511171465,0.02,0.05,-0.02,0.4,0.1,0.2,9.641485289416368,-1.5505314733424074,12152.0,0.3,LOG25.TXT
11,0.02,0.0,-0.0,0.1,0.1,-0.2,4.53108754436667,-0.6987960979051981,0.02,0.01,0.08,-0.4,0.1,-0.0,9.587235910606076,-1.7971826748607207,12162.0,0.3,LOG25.TXT
12,0.01,-0.01,-0.03,-0.3,-0.2,0.3,1.2062247699377733,-1.0377481882229405,0.03,0.02,0.02,0.4,-0.0,-0.0,10.299411192393954,-2.694961888197846,12172.0,0.3,LOG25.TXT
13,-0.01,-0.02,-0.06,-0.0,-0.2,-0.1,-2.0492007490025452,-0.8392556858247677,0.04,-0.02,-0.01,-0.0,-0.1,0.3,7.762121945004514,-3.8579240054859016,12182.0,0.3,LOG25.TXT
14,-0.01,-0.05,-0.03,-0.0,-0.0,-0.1,-4.427491864663967,-0.6278410626451196,0.05,-0.01,0.02,-0.4,-0.2,-0.0,7.071266482562864,-5.101024674333971,12193.0,0.3,LOG25.TXT
15,-0.01,-0.05,-0.06,-0.0,0.1,0.1,-7.142830605525386,-0.46847673537188284,0.01,0.01,0.01,0.5,0.0,0.2,7.834251152911607,-5.704291974502385,12202.0,0.3,LOG25.TXT
16,0.01,-0.02,-0.01,0.3,0.1,-0.2,-9.32833501695644,-0.9400240517066596,0.02,-0.01,-0.01,-0.0,0.1,0.5,4.977566129853372,-6.683938341357244,12212.0,0.3,LOG25.TXT
17,0.03,-0.01,-0.06,-0.2,-0.3,-0.1,-12.554481872456805,-1.4492110730269405,-0.05,0.01,-0.03,-0.0,0.2,0.0,8.109315830797868,-5.394530239278575,12222.0,0.3,LOG25.TXT
18,0.01,0.04,-0.06,0.1,0.1,-0.1,-9.376213585527262,-1.5771496936673177,0.04,-0.0,0.02,0.5,0.1,0.1,7.952029514181912,-6.554358610951445,12232.0,0.3,LOG25.TXT
19,-0.0,0.01,-0.01,0.5,0.5,-0.2,-6.483789313816713,-1.5407066997939713,-0.05,-0.03,-0.03,-0.0,0.0,0.2,5.092988923898272,-5.429582282947866,12242.0,0.3,LOG25.TXT
20,0.01,-0.05,-0.06,0.3,0.2,-0.0,-9.154474105695078,-1.6534660718184264,0.01,-0.0,0.04,-0.3,0.2,-0.0,4.987601145420307,-5.599363506647439,12254.0,0.3,LOG25.TXT
21,0.02,-0.04,-0.07,-0.1,-0.2,0.1,-11.977368997642333,-1.9008025813672194,-0.04,-0.04,0.04,0.4,-0.1,-0.2,3.991377122511899,-4.782970442859396,12263.0,0.3,LOG25.TXT
22,0.03,-0.02,-0.06,0.1,0.1,-0.1,-14.96814264123105,-2.369345200242922,-0.03,0.03,0.06,0.5,0.0,0.2,4.447750603603221,-4.205414182959994,12273.0,0.3,LOG25.TXT
23,0.06,-0.02,-0.05,-0.0,-0.2,-0.2,-17.832751598679394,-3.285937338601999,-0.0,-0.01,-0.01,-0.1,-0.1,-0.1,1.6577175915311542,-4.122383899300794,12284.0,0.3,LOG25.TXT
24,0.04,-0.02,-0.04,-0.0,0.0,-0.3,-20.54479554316425,-4.056424889745531,-0.03,0.05,0.07,0.1,-0.1,-0.1,2.336198795540019,-3.6563011064058974,12293.0,0.3,LOG25.TXT
25,-0.01,0.01,-0.05,0.2,0.2,-0.3,-16.758138281781363,-3.7514203262878927,-0.02,0.05,-0.09,0.5,0.1,0.1,5.313282737647678,-3.362331054305841,12303.0,0.3,LOG25.TXT
26,0.07,-0.0,0.01,0.1,-0.1,0.0,-16.421995516145735,-5.314769872679017,0.03,0.02,-0.07,0.1,-0.0,0.0,8.48908916487627,-3.742997679820508,12313.0,0.3,LOG25.TXT
27,-0.03,0.03,-0.03,0.1,-0.2,-0.0,-13.392477605822815,-4.505342681570343,0.01,-0.02,-0.04,-0.1,0.0,-0.1,5.2495304051203036,-3.9202253791916815,12324.0,0.3,LOG25.TXT
28,0.07,-0.03,-0.03,-0.2,-0.4,-0.1,-15.826588053706363,-5.5947618589915695,-0.04,0.03,-0.03,0.1,-0.0,-0.3,7.8455197970179,-2.975543738442186,12334.0,0.3,LOG25.TXT
29,-0.03,-0.04,-0.03,-0.0,0.1,-0.3,-18.04745424554912,-4.8626114911702665,0.03,0.02,-0.14,0.7,0.1,0.1,11.132867353994426,-3.154587379920824,12344.0,0.3,LOG25.TXT
30,-0.02,0.01,-0.06,0.1,-0.1,-0.0,-14.274673604798643,-4.402422056056195,0.02,-0.02,0.01,0.0,0.1,0.1,9.641511030456096,-3.92662393023798,12355.0,0.3,LOG25.TXT
31,-0.02,-0.03,0.05,-0.0,0.0,-0.2,-14.60845526334414,-3.935737151317767,-0.02,0.01,0.03,0.2,-0.1,-0.3,9.819143786305414,-3.202742786884743,12364.0,0.3,LOG25.TXT
32,-0.04,0.03,0.05,0.2,-0.1,-0.1,-13.695051027435786,-3.169004368532341,-0.06,-0.01,0.01,0.5,-0.0,0.1,8.727660910579306,-1.6039414513131436,12374.0,0.3,LOG25.TXT
33,0.02,-0.04,0.01,0.0,-0.3,0.1,-14.940425137528543,-3.626098082378245,-0.02,-0.0,0.0,0.0,0.1,-0.2,8.55310769236772,0.2291173777131208,12384.0,0.3,LOG25.TXT
34,0.07,0.01,-0.04,0.1,-0.1,-0.2,-11.321361504136497,-4.744581580997388,-0.03,-0.02,0.06,0.3,-0.0,-0.2,8.016286562061925,0.7320737006619048,12394.0,0.3,LOG25.TXT
35,0.01,0.05,0.0,0.0,0.1,-0.1,-9.294934274053766,-4.874908598857845,-0.02,0.02,-0.0,0.3,-0.0,-0.1,9.658900830820688,1.6174322266486674,12404.0,0.3,LOG25.TXT
36,0.05,0.02,0.0,-0.1,-0.1,0.0,-7.310015588572688,-6.1423622371536535,0.0,0.01,0.03,0.8,0.1,0.0,9.842261790662715,1.5860635821156939,12414.0,0.3,LOG25.TXT
37,-0.03,-0.02,0.04,0.4,0.3,0.0,-7.690804300342794,-5.339190696158169,0.04,0.02,0.05,0.5,-0.0,0.1,10.086834744576496,0.8222567816192664,12425.0,0.3,LOG25.TXT
38,-0.04,0.02,0.03,0.2,0.1,-0.3,-6.861422863816341,-4.27214715771895,0.01,-0.06,-0.04,-0.1,-0.2,-0.4,7.410414699165368,0.6461448038859651,12434.0,0.3,LOG25.TXT
39,-0.01,0.02,0.04,-0.1,-0.1,0.0,-6.193873382998454,-3.9355965615969875,-0.01,0.01,0.0,0.8,-0.0,0.1,9.070046405182062,1.5332219078082465,12444.0,0.3,LOG25.TXT
40,-0.01,-0.03,-0.06,0.0,0.1,-0.4,-9.138694891796927,-3.6863303674233245,0.02,-0.02,-0.06,0.0,-0.3,-0.1,5.657344453536856,1.1486494573762354,12454.0,0.3,LOG25.TXT
41,-0.01,-0.03,-0.04,0.1,0.1,-0.1,-11.817543041044111,-3.3854251105944533,0.04,0.06,0.03,0.1,-0.1,-0.3,6.813876540924561,0.5085568458866068,12464.0,0.3,LOG25.TXT
42,0.05,-0.02,-0.06,0.0,0.1,0.1,-14.812493203764792,-4.083312970411683,0.04,0.03,0.09,0.7,0.0,0.1,7.05315798656451,0.041143926084175775,12474.0,0.3,LOG25.TXT
43,-0.0,-0.02,-0.05,-0.1,0.1,-0.0,-17.681195149962463,-4.000666711003449,0.01,0.02,0.04,0.1,-0.0,0.2,7.4443758503747794,-0.21176660540509162,12484.0,0.3,LOG25.TXT
44,-0.01,-0.0,-0.02,0.0,0.1,-0.1,-20.92757124696322,-3.3883723532418197,0.06,0.02,-0.09,-0.4,-0.1,-0.1,10.640992179184256,-0.8696258963140704,12494.0,0.3,LOG25.TXT
45,-0.03,0.03,-0.02,0.1,0.1,-0.3,-18.034238471504356,-2.5243817231408814,-0.04,0.01,0.05,0.3,0.1,0.1,10.657310985080974,-0.08899484836805549,12504.0,0.3,LOG25.TXT
46,0.05,-0.03,-0.06,-0.1,0.2,-0.0,-20.743232678532713,-3.2059185926878624,-0.03,0.03,0.01,0.3,-0.1,0.3,11.878405788920915,0.7816354355011466,12514.0,0.3,LOG25.TXT
47,0.04,0.03,0.02,0.0,0.3,-0.3,-19.202169375481656,-4.097943945350161,-0.03,-0.0,0.08,-0.3,-0.2,0.1,11.637603673142497,1.1749676311827932,12525.0,0.3,LOG25.TXT
48,0.04,0.01,-0.07,-0.0,0.2,-0.1,-15.380728035055137,-4.604145236374486,-0.03,0.01,0.06,-0.1,-0.0,0.0,11.593216043840158,1.6765157809135514,12534.0,0.3,LOG25.TXT
49,-0.0,-0.04,-0.0,0.0,0.3,-0.2,-16.873113474354035,-4.509122331646997,0.0,0.01,0.0,0.4,0.0,0.2,13.165271722963357,1.6429854652952802,12544.0,0.3,LOG25.TXT
50,0.03,-0.02,-0.02,-0.1,-0.1,-0.0,-19.23663120486696,-5.353642751848397,0.01,0.0,-0.0,-0.4,-0.1,0.0,16.498046288504092,-0.1908542440106269,12554.0,0.3,LOG25.TXT
51,0.05,-0.02,-0.01,-0.0,0.3,-0.2,-21.183199604311184,-6.561733045769215,-0.0,0.01,0.04,-0.1,0.0,-0.0,16.44783023209254,-0.18703715913041435,12564.0,0.3,LOG25.TXT
52,0.04,0.02,-0.06,0.0,0.4,-0.1,-17.5282345886834,-7.072809049602309,0.06,0.01,0.05,0.2,0.1,0.2,16.347032276931092,-1.1751344068145821,12574.0,0.3,LOG25.TXT
53,-0.01,0.04,-0.02,-0.1,0.2,0.1,-14.84754487336817,-6.67691321564268,-0.05,0.03,0.03,0.3,-0.0,0.4,16.92361963139247,-0.1579425628937412,12586.0,0.3,LOG25.TXT
54,-0.07,-0.01,-0.04,-0.1,0.1,-0.0,-17.87075110654228,-5.352467491063117,0.01,0.01,-0.03,-0.5,0.0,0.1,19.81203826230618,-0.5057517239117126,12595.0,0.3,LOG25.TXT
55,0.03,0.01,-0.07,-0.1,0.2,-0.0,-14.07691813149455,-5.703253496714033,0.05,0.02,0.03,0.4,0.2,0.4,20.093518847579656,-1.5777614911393378,12605.0,0.3,LOG25.TXT
56,0.06,-0.04,-0.03,-0.2,0.1,-0.1,-16.33473772178154,-6.592097004934449,0.05,-0.03,-0.01,-0.6,0.1,0.4,17.51706949416962,-2.698995596568075,12615.0,0.3,LOG25.TXT
57,0.01,0.02,0.01,-0.1,0.3,-0.1,-14.740323990887468,-6.939211915877975,-0.03,-0.1,0.04,-0.5,0.2,0.3,15.797856294013261,-2.331759551408945,12625.0,0.3,LOG25.TXT
58,-0.0,0.04,0.04,-0.2,0.2,-0.1,-13.547477511069719,-6.798467677560415,-0.05,0.05,-0.05,0.2,0.0,0.5,18.183859168132997,-1.5798365667256724,12635.0,0.3,LOG25.TXT
59,-0.0,-0.04,0.0,-0.5,0.0,0.0,-15.081427960848327,-6.662498324009207,0.0,0.04,0.01,-0.2,0.2,0.4,19.33749711541181,-1.5462798353911589,12645.0,0.3,LOG25.TXT
60,-0.03,-0.05,-0.04,-0.2,0.2,-0.2,-17.354955566713166,-6.025206552524595,-0.01,0.02,-0.06,-0.4,-0.0,-0.0,22.178128196645133,-1.3356567000496218,12655.0,0.3,LOG25.TXT
61,0.03,0.01,0.08,-0.0,0.3,-0.2,-16.865356128400865,-6.309971331907273,0.01,0.03,-0.0,-0.0,-0.0,-0.2,23.53456563271223,-1.6776425425070698,12665.0,0.3,LOG25.TXT
62,0.01,0.02,0.03,-0.4,0.0,0.1,-15.858167655313252,-6.493799096607868,0.04,-0.03,-0.04,0.5,0.1,0.3,20.20617227297486,-2.416305856738731,12675.0,0.3,LOG25.TXT
